Order Number,CITY,Billing Address Province,Customer Id,Invoice Date,Product Type,Quantity,Subtotal Price,Total Price Usd,Total Tax
1681,HOUSTON,Texas,2865,2025-03-19 17:27:00,Climbing Shoes,1,535.13,588.643,53.513
6972,MONROE,Louisiana,4987,2025-03-24 15:42:00,Climbing Shoes,1,578.33,636.163,57.833
4994,HOUSTON,Texas,5472,2025-03-22 18:32:00,Climbing Shoes,1,594.33,653.763,59.433
206,EL PASO,Texas,3227,2025-03-18 10:51:00,Climbing Shoes,1,487.13,535.843,48.713
4346,PANAMA CITY,Florida,1874,2025-03-22 09:55:00,Climbing Shoes,1,535.13,588.643,53.513
5656,SPRINGFIELD,Illinois,607,2025-03-23 13:47:00,Climbing Shoes,1,741.13,815.243,74.113
6507,GREEN BAY,Wisconsin,5134,2025-03-24 10:18:00,Climbing Shoes,1,1036.73,1140.403,103.673
6890,LAFAYETTE,Indiana,4689,2025-03-24 14:26:00,Climbing Shoes,1,1038.33,1142.163,103.833
6284,CHICAGO,Illinois,5613,2025-03-24 07:19:00,Running Shoes,1,508.13,558.943,50.813
6285,BURBANK,California,4038,2025-03-24 07:19:00,Climbing Shoes,1,713.13,784.443,71.313
5629,LONG BEACH,California,673,2025-03-23 13:22:00,Climbing Shoes,1,595.93,655.523,59.593
5133,SHREVEPORT,Louisiana,3413,2025-03-22 20:31:00,Climbing Shoes,1,634.33,697.763,63.433
6937,ORANGE,California,1719,2025-03-24 15:13:00,Walking Shoes,1,547.13,601.843,54.713
2560,ATLANTA,Georgia,4531,2025-03-20 15:03:00,Walking Shoes,1,944.13,1038.543,94.413
4090,SCOTTSDALE,Arizona,3534,2025-03-21 22:46:00,Walking Shoes,1,562.13,618.343,56.213
5927,SANTA CLARA,California,2665,2025-03-23 18:19:00,Walking Shoes,1,727.13,799.843,72.713
4113,WASHINGTON,District of Columbia,5184,2025-03-21 23:17:00,Walking Shoes,1,529.53,582.483,52.953
7159,JACKSONVILLE,Florida,697,2025-03-24 18:29:00,Walking Shoes,1,821.53,903.683,82.153
7402,COLUMBIA,South Carolina,1574,2025-03-24 23:14:00,Walking Shoes,1,686.33,754.963,68.633
433,NEW YORK CITY,New York,5606,2025-03-18 13:45:00,Walking Shoes,1,474.13,521.543,47.413
